number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_gru,params_hidden_lstm,params_lr,params_weight_decay,state
50,0.019376525655388832,2026-01-28 09:36:55.297146,2026-01-28 09:36:59.460260,0 days 00:00:04.163114,64,0.15450292509317715,256,128,0.0017828376750542684,0.00011807102343106659,COMPLETE
51,0.01933155581355095,2026-01-28 09:36:59.462502,2026-01-28 09:37:01.628292,0 days 00:00:02.165790,64,0.14549128864062807,128,128,0.0005405453057157577,0.00026691473692273614,COMPLETE
52,0.019814973697066307,2026-01-28 09:37:01.629984,2026-01-28 09:37:04.064813,0 days 00:00:02.434829,64,0.05497469677170233,128,128,0.0011837637045864005,0.0001691694869580649,COMPLETE
53,0.01957215555012226,2026-01-28 09:37:04.066827,2026-01-28 09:37:06.881816,0 days 00:00:02.814989,64,0.09535228121717515,128,128,0.0009714702654570735,0.00013746509922625647,COMPLETE
54,0.01983441598713398,2026-01-28 09:37:06.883767,2026-01-28 09:37:09.513535,0 days 00:00:02.629768,64,0.16931205698346125,128,128,0.0012796894032329204,0.00019198961750514792,COMPLETE
55,0.01970427669584751,2026-01-28 09:37:09.515376,2026-01-28 09:37:12.273377,0 days 00:00:02.758001,64,0.1226702976427626,128,128,0.0005955481985079382,0.00010023529536400892,COMPLETE
56,0.019179048016667366,2026-01-28 09:37:12.275766,2026-01-28 09:37:14.728419,0 days 00:00:02.452653,64,0.1378764987396849,128,128,0.0010976046552398475,0.00035763589397916205,COMPLETE
57,0.019283883273601532,2026-01-28 09:37:14.730255,2026-01-28 09:37:19.020967,0 days 00:00:04.290712,64,0.18736514374304153,256,128,0.0007221269262966708,4.042355555918694e-05,COMPLETE
58,0.019186975434422493,2026-01-28 09:37:19.022894,2026-01-28 09:37:23.446785,0 days 00:00:04.423891,64,0.18475711633918993,256,128,0.0007286153287163465,4.328209384577156e-05,COMPLETE
59,0.019411932677030563,2026-01-28 09:37:23.448620,2026-01-28 09:37:28.379255,0 days 00:00:04.930635,64,0.18560165206553111,256,128,0.0008020770922078207,5.4694435955216726e-05,COMPLETE
60,0.020619258284568787,2026-01-28 09:37:28.381672,2026-01-28 09:37:32.603877,0 days 00:00:04.222205,64,0.13773575417703138,256,256,0.0009126266895801537,0.0003837684926336584,PRUNED
61,0.01960674300789833,2026-01-28 09:37:32.605278,2026-01-28 09:37:37.595418,0 days 00:00:04.990140,64,0.1863550405883586,256,128,0.0007465489175718629,3.5229625579462565e-05,COMPLETE
